UserID,UserName,Age,Bronze,Silver,Gold,Creation_Date
1630171,Ansgar Wiechers,0,53,27,8,1335392920
1302488,yogesh prajapati,27,38,8,2,1333085939
2727906,Geka K,0,8,0,0,1377754329
1581011,Swapnil Dilettante Somnitexter,0,1,0,0,1344319774
1400793,Anonymous,0,35,16,1,1337252258
3678196,WeeBeeJava,0,3,0,0,1401160939
2400234,Marcus Vin&#237;cius,0,3,0,0,1369016784
1400768,nhahtdh,43,74,36,6,1337251164
2629629,Savan Kachhiya,24,4,1,0,1375088997
2351093,fstef,0,3,1,0,1367722140
991191,gorn,0,30,15,3,1298284300
3923937,banneddude,0,0,0,0,1407536530
3022836,Kunu,24,18,3,1,1385143147
3022798,Molimo,0,2,0,0,1385142538
3497943,iffu,25,12,0,0,1396612944
1728511,omickron,0,13,1,0,1349691871
942054,Marcel,0,3,0,0,1315900547
4300715,Naveen Kumar PG,28,8,1,0,1417100692
3170271,TDDdev,0,8,0,0,1389117959
1630199,Srinivasan.S,0,9,7,0,1346155190
1826804,Laurent Bristiel,40,22,4,0,1352986669
1351652,Bernardo Ferreira Bastos Braga,29,11,0,0,1335193886
3071964,Imen,0,10,2,0,1386275847
2121682,iamkaan,0,8,0,0,1362095250
1302496,Jimmy Bhavsar,0,5,0,0,1333086154
368630,David W.,0,164,65,13,1276719118
3497920,mbruun,0,1,0,0,1396612569
1581037,chifer,0,9,0,0,1344320505
417791,Wojtek O.,30,40,11,2,1281565203
1728480,aquemini,0,16,2,0,1349691006
2629588,Sankarganesh Eswaran,24,5,0,0,1375088250
3448776,user3448776,24,4,0,0,1395460151
1728537,lrineau,36,26,9,1,1349692553
1204246,thegeko,26,9,3,1,1328989487
598029,codelion,0,15,7,1,1296544930
2351147,simkeyur,23,4,0,0,1367724629
1581073,ahmad05,0,15,5,0,1344321189
1875989,FilippoDN,0,1,0,0,1354631275
3399743,user3399743,0,4,0,0,1394405400
3924022,Aaron Harding,0,7,1,0,1407539677
1581069,Peter Butkovic,0,33,10,1,1344321163
1155079,Matt Friedman,0,15,8,0,1326843964
3072056,broot02,0,6,0,0,1386277328
1728525,Sercan,34,6,0,0,1349692154
3121200,707090,17,6,0,0,1387502105
991275,Rituraj ratan,0,30,8,1,1318416232
4005909,Rich Cairns Jr.,0,5,0,0,1409784229
3678228,user3678228,0,0,0,0,1401162316
942113,ZehnVon12,0,15,4,0,1315903153
1400869,D.R.,0,48,12,2,1337254503
3497985,dharr,0,10,1,0,1396613626
1826861,Birliban,0,4,0,0,1352987742
1581088,Yogesh,26,9,0,0,1344321638
1204267,Thomas Leduc,24,15,1,0,1328990910
1204265,Antonio Dell&#39;Elce,41,5,0,0,1328990847
